ZipCode,EV Count,Charging Stations,Electric Vehicles to Charging Station Ratio
20854,2638.0,10.0,264.0
20850,2012.0,43.0,47.0
20878,1967.0,17.0,116.0
20817,1919.0,8.0,240.0
21076,1674.0,24.0,70.0
21042,1510.0,4.0,378.0
21043,1273.0,7.0,182.0
20871,1253.0,1.0,1253.0
20815,1227.0,16.0,77.0
20814,1148.0,33.0,35.0
20852,1116.0,35.0,32.0
21240,1053.0,5.0,211.0
21044,993.0,49.0,20.0
20910,876.0,16.0,55.0
20874,802.0,19.0,42.0
21401,765.0,29.0,26.0
21029,752.0,4.0,188.0
21117,749.0,23.0,33.0
20723,744.0,4.0,186.0
20906,726.0,4.0,182.0
20816,722.0,0.0,0.0
21075,706.0,13.0,54.0
20772,685.0,6.0,114.0
21704,668.0,7.0,95.0
20855,663.0,3.0,221.0
20902,644.0,14.0,46.0
21045,625.0,17.0,37.0
21093,624.0,4.0,156.0
20904,613.0,14.0,44.0
21146,601.0,0.0,0.0
20895,592.0,1.0,592.0
20774,574.0,19.0,30.0
21403,569.0,8.0,71.0
21113,558.0,9.0,62.0
21701,557.0,9.0,62.0
21784,556.0,6.0,93.0
21228,551.0,8.0,69.0
20853,534.0,0.0,0.0
21230,532.0,30.0,18.0
20901,530.0,2.0,265.0
20912,512.0,8.0,64.0
21208,488.0,3.0,163.0
21136,481.0,4.0,120.0
21122,479.0,3.0,160.0
20744,475.0,3.0,158.0
21702,471.0,5.0,94.0
21771,470.0,7.0,67.0
21224,468.0,23.0,20.0
21703,459.0,3.0,153.0
21144,459.0,0.0,0.0
21090,450.0,15.0,30.0
20759,448.0,9.0,50.0
21774,448.0,1.0,448.0
20721,441.0,1.0,441.0
21209,417.0,9.0,46.0
21212,415.0,4.0,104.0
20832,399.0,4.0,100.0
20876,375.0,4.0,94.0
20720,374.0,2.0,187.0
20882,364.0,0.0,0.0
20707,360.0,13.0,28.0
20905,358.0,0.0,0.0
21409,357.0,7.0,51.0
21060,356.0,1.0,356.0
21037,335.0,2.0,168.0
21204,334.0,9.0,37.0
21234,330.0,4.0,82.0
21015,328.0,7.0,47.0
20877,328.0,10.0,33.0
21210,328.0,2.0,164.0
21012,322.0,4.0,80.0
20841,320.0,1.0,320.0
21046,320.0,25.0,13.0
20603,313.0,4.0,78.0
21014,309.0,8.0,39.0
20879,307.0,8.0,38.0
21030,307.0,7.0,44.0
21114,299.0,1.0,299.0
20886,298.0,0.0,0.0
21108,293.0,2.0,146.0
20715,278.0,8.0,35.0
21054,277.0,1.0,277.0
20735,274.0,3.0,91.0
21286,274.0,4.0,68.0
21157,271.0,4.0,68.0
21218,270.0,11.0,25.0
21740,268.0,24.0,11.0
21220,259.0,4.0,65.0
20770,259.0,5.0,52.0
21601,257.0,2.0,128.0
20706,254.0,6.0,42.0
21770,242.0,1.0,242.0
20740,240.0,28.0,9.0
21211,236.0,5.0,47.0
21061,233.0,11.0,21.0
21152,233.0,1.0,233.0
20705,226.0,5.0,45.0
20782,221.0,7.0,32.0
21769,220.0,1.0,220.0
21163,219.0,0.0,0.0
21009,219.0,4.0,55.0
21078,219.0,2.0,110.0
20716,218.0,9.0,24.0
21502,217.0,11.0,20.0
20833,216.0,0.0,0.0
21231,212.0,23.0,9.0
20743,209.0,6.0,35.0
21128,206.0,3.0,69.0
21032,203.0,2.0,102.0
21742,203.0,4.0,51.0
21797,201.0,0.0,0.0
21035,196.0,0.0,0.0
21754,196.0,9.0,22.0
20613,195.0,2.0,98.0
20837,195.0,2.0,98.0
20607,193.0,2.0,96.0
21244,192.0,5.0,38.0
20745,192.0,25.0,8.0
20777,188.0,0.0,0.0
20785,187.0,8.0,23.0
