ZipCode,EV Count,Charging Stations,EV_to_charging_station_ratio
20854,2007,10,0.5
20850,1591,43,2.7
20878,1470,17,1.16
20817,1350,8,0.59
21042,1109,4,0.36
21240,1049,5,0.48
20871,1013,1,0.1
21043,982,7,0.71
21076,897,24,2.68
20815,809,16,1.98
20814,808,33,4.08
20852,801,35,4.37
21044,694,49,7.06
21029,596,4,0.67
21117,562,23,4.09
21075,555,13,2.34
20723,552,4,0.72
20874,542,19,3.51
20910,527,16,3.04
21401,523,29,5.54
20772,517,6,1.16
20855,502,3,0.6
20906,498,4,0.8
21704,484,7,1.45
20774,446,19,4.26
20904,416,14,3.37
21093,407,4,0.98
21045,402,17,4.23
21113,401,9,2.24
20902,397,14,3.53
21784,395,6,1.52
20895,383,1,0.26
21403,377,8,2.12
21230,373,30,8.04
21228,365,8,2.19
20744,362,3,0.83
20759,345,9,2.61
21136,344,4,1.16
21208,338,3,0.89
21701,333,9,2.7
20901,326,2,0.61
20721,325,1,0.31
21774,324,1,0.31
21702,321,5,1.56
21224,319,23,7.21
21771,308,7,2.27
21122,305,3,0.98
21703,292,3,1.03
20720,282,2,0.71
20912,281,8,2.85
21060,273,1,0.37
20832,271,4,1.48
21090,269,15,5.58
21209,265,9,3.4
20707,257,13,5.06
20876,256,4,1.56
21212,254,4,1.57
20841,242,1,0.41
20603,239,4,1.67
21409,237,7,2.95
21037,233,2,0.86
21015,228,7,3.07
21046,225,25,11.11
20879,223,8,3.59
21204,223,9,4.04
21210,215,2,0.93
20877,214,10,4.67
21030,211,7,3.32
21012,210,4,1.9
21054,209,1,0.48
21152,208,1,0.48
21014,206,8,3.88
20735,202,3,1.49
21108,202,2,0.99
21114,200,1,0.5
20706,194,6,3.09
20715,190,8,4.21
21234,183,4,2.19
21220,182,4,2.2
21157,176,4,2.27
21770,175,1,0.57
21740,174,24,13.79
21286,170,4,2.35
21061,166,11,6.63
20770,165,5,3.03
20716,164,9,5.49
21601,161,2,1.24
21218,158,11,6.96
20705,155,5,3.23
21128,152,3,1.97
20745,152,25,16.45
20740,147,28,19.05
20607,147,2,1.36
20613,145,2,1.38
21211,141,5,3.55
20602,140,3,2.14
21009,138,4,2.9
21244,138,5,3.62
21231,138,23,16.67
20866,138,2,1.45
20837,137,2,1.46
21078,137,2,1.46
20724,135,2,1.48
21754,134,9,6.72
21769,133,1,0.75
21032,131,2,1.53
21202,131,42,32.06
20782,131,7,5.34
20794,128,7,5.47
21502,127,11,8.66
21237,125,5,4.0
20646,125,5,4.0
20601,125,9,7.2
20695,124,3,2.42
20743,123,6,4.88
21742,121,4,3.31
21131,116,1,0.86
21001,116,8,6.9
21921,115,3,2.61
20708,108,1,0.93
20785,108,8,7.41
20650,107,6,5.61
21666,105,2,1.9
21236,105,16,15.24
21158,105,3,2.86
20619,102,5,4.9
21221,101,3,2.97
21048,100,1,1.0
20732,99,2,2.02
